what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.tasks.ui,1240528886484
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1240528886515
activated,perspective,gcml.diagram,,gcml.diagram.GcmlPerspective,1240587821529
started,bundle,org.eclipse.osgi,3.4.2.R34x_v20080826-1230,org.eclipse.osgi,1240587821529
started,bundle,org.eclipse.equinox.common,3.4.0.v20080421-2006,org.eclipse.equinox.common,1240587821529
started,bundle,org.eclipse.update.configurator,3.2.201.R34x_v20080819,org.eclipse.update.configurator,1240587821561
started,bundle,org.eclipse.core.runtime,3.4.0.v20080512,org.eclipse.core.runtime,1240587821561
started,bundle,com.ibm.icu,3.8.1.v20080530,com.ibm.icu,1240587821592
started,bundle,gcml.diagram,1.0.0.200904231620,gcml.diagram,1240587821592
started,bundle,gcml.edit,1.0.0,gcml.edit,1240587821592
started,bundle,gcml,1.0.0,gcml,1240587821608
started,bundle,org.eclipse.core.contenttype,3.3.0.v20080604-1400,org.eclipse.core.contenttype,1240587821608
started,bundle,org.eclipse.core.databinding,1.1.1.M20080827-0800b,org.eclipse.core.databinding,1240587821623
started,bundle,org.eclipse.core.expressions,3.4.0.v20080603-2000,org.eclipse.core.expressions,1240587821623
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1240587821623
started,bundle,org.eclipse.core.jobs,3.4.0.v20080512,org.eclipse.core.jobs,1240587821904
started,bundle,org.eclipse.core.net,1.1.0.I20080604,org.eclipse.core.net,1240587821904
started,bundle,org.eclipse.core.resources,3.4.1.R34x_v20080902,org.eclipse.core.resources,1240587821904
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20070502,org.eclipse.core.runtime.compatibility.auth,1240587821904
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20071008,org.eclipse.core.runtime.compatibility,1240587821904
started,bundle,org.eclipse.draw2d,3.4.0.v20080529,org.eclipse.draw2d,1240587821936
started,bundle,org.eclipse.emf.common.ui,2.4.0.v200808251517,org.eclipse.emf.common.ui,1240587821967
started,bundle,org.eclipse.emf.common,2.4.0.v200808251517,org.eclipse.emf.common,1240587821967
started,bundle,org.eclipse.emf.ecore.change,2.4.0.v200808251517,org.eclipse.emf.ecore.change,1240587821983
started,bundle,org.eclipse.emf.ecore.edit,2.4.1.v200808251517,org.eclipse.emf.ecore.edit,1240587821983
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200808251517,org.eclipse.emf.ecore.xmi,1240587821983
started,bundle,org.eclipse.emf.ecoretools.diagram,0.8.0.v200806130600,org.eclipse.emf.ecoretools.diagram,1240587822029
